,1,2,3,4,5,6,7,8,9,10
1,0.062,0.163,0.264,0.352,0.389,0.449,0.487,0.506,0.531,0.538
2,0.068,0.188,0.287,0.374,0.428,0.443,0.44,0.48,0.496,0.473
3,0.065,0.191,0.25,0.303,0.432,0.457,0.474,0.478,0.489,0.504
4,0.054,0.162,0.28,0.357,0.43,0.462,0.477,0.493,0.492,0.491
5,0.063,0.176,0.272,0.374,0.414,0.449,0.487,0.466,0.489,0.472
6,0.057,0.17,0.279,0.346,0.421,0.458,0.474,0.495,0.506,0.485
7,0.064,0.163,0.267,0.36,0.411,0.462,0.501,0.493,0.488,0.514
8,0.068,0.171,0.293,0.364,0.395,0.447,0.491,0.497,0.511,0.498
9,0.056,0.186,0.237,0.369,0.416,0.437,0.48,0.478,0.487,0.503
10,0.066,0.149,0.257,0.359,0.415,0.448,0.471,0.532,0.486,0.5
11,0.056,0.158,0.291,0.37,0.44,0.469,0.483,0.477,0.482,0.511
12,0.055,0.163,0.283,0.376,0.43,0.437,0.488,0.497,0.485,0.491
13,0.058,0.178,0.266,0.356,0.423,0.45,0.467,0.459,0.501,0.538
14,0.067,0.183,0.3,0.363,0.411,0.462,0.477,0.461,0.485,0.475
15,0.056,0.177,0.279,0.367,0.417,0.445,0.482,0.509,0.493,0.478
16,0.064,0.187,0.288,0.352,0.423,0.431,0.482,0.5,0.497,0.495
17,0.071,0.17,0.316,0.336,0.423,0.448,0.476,0.48,0.482,0.499
18,0.056,0.209,0.273,0.353,0.427,0.453,0.478,0.496,0.505,0.49
19,0.066,0.173,0.282,0.342,0.396,0.419,0.472,0.506,0.486,0.518
20,0.065,0.192,0.276,0.347,0.434,0.456,0.485,0.475,0.483,0.475
21,0.067,0.154,0.27,0.379,0.399,0.434,0.485,0.494,0.488,0.546
22,0.063,0.207,0.258,0.359,0.408,0.455,0.492,0.467,0.497,0.475
23,0.07,0.163,0.285,0.374,0.454,0.455,0.457,0.482,0.484,0.531
